,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Year,HomeWin
91,Romania,Spain,1,2,1996,False
86,Spain,Bulgaria,1,1,1996,False
103,Turkey,Denmark,0,3,1996,False
22,Netherlands,Greece,1,0,1980,True
213,Netherlands,Germany,1,2,2012,False
63,Russia,Italy,2,0,1988,True
121,Turkey,Belgium,2,0,2000,True
168,Sweden,Netherlands,0,0,2004,False
259,Republic of Ireland,Sweden,1,1,2016,False
42,Romania,Spain,1,1,1984,False
126,Norway,FR Yugoslavia,0,1,2000,False
216,Spain,Italy,1,1,2012,False
147,Russia,Greece,2,1,2004,True
207,Poland,Russia,1,1,2012,False
1,Czechoslovakia,Russia,0,3,1960,False
228,Czech Republic,Portugal,0,1,2012,False
179,Austria,Croatia,0,1,2008,False
140,Italy,Netherlands,0,0,2000,True
127,FR Yugoslavia,Spain,3,4,2000,False
215,Denmark,Germany,1,2,2012,False
142,Portugal,Greece,1,2,2004,False
6,Hungary,Denmark,3,1,1964,True
190,France,Italy,0,2,2008,False
220,Croatia,Spain,0,1,2012,False
281,Germany,Italy,1,1,2016,True
29,Belgium,Spain,2,1,1980,True
39,France,Yugoslavia,3,2,1984,True
186,Netherlands,Italy,3,0,2008,True
159,Denmark,Sweden,2,2,2004,False
169,Czech Republic,Denmark,3,0,2004,True
163,Netherlands,Czech Republic,2,3,2004,False
21,Czechoslovakia,Germany,0,1,1980,False
30,England,Italy,0,1,1980,False
10,England,Russia,2,0,1968,True
72,CIS,Germany,1,1,1992,False
166,Portugal,England,2,2,2004,True
99,Turkey,Croatia,0,1,1996,False
74,Netherlands,CIS,0,0,1992,False
185,Romania,France,0,0,2008,False
85,Netherlands,England,1,4,1996,False
75,Netherlands,Germany,3,1,1992,True
202,Russia,Spain,0,3,2008,False
128,Slovenia,Norway,0,0,2000,False
178,Turkey,Czech Republic,3,2,2008,True
129,France,Denmark,3,0,2000,True
82,Switzerland,Netherlands,0,2,1996,False
176,Switzerland,Turkey,1,2,2008,False
145,Russia,Portugal,0,2,2004,False
43,Germany,Romania,2,1,1984,True
234,Spain,Italy,4,0,2012,True
67,France,England,0,0,1992,False
144,Greece,Spain,1,1,2004,False
122,Italy,Sweden,2,1,2000,True
110,Czech Republic,Germany,1,2,1996,False
79,Denmark,Germany,2,0,1992,True
49,France,Spain,2,0,1984,True
199,Netherlands,Russia,1,3,2008,False
24,Greece,Czechoslovakia,1,3,1980,False
260,Belgium,Italy,0,2,2016,False
151,Croatia,France,2,2,2004,False
61,Republic of Ireland,Netherlands,0,1,1988,False
256,Spain,Turkey,3,0,2016,True
50,Germany,Italy,1,1,1988,False
8,Italy,Russia,0,0,1968,False
23,Germany,Netherlands,3,2,1980,True
203,Germany,Spain,0,1,2008,False
94,Czech Republic,Italy,2,1,1996,True
261,Italy,Sweden,1,0,2016,True
171,Greece,Czech Republic,1,0,2004,True
105,France,Netherlands,0,0,1996,True
197,Portugal,Germany,2,3,2008,False
150,England,Switzerland,3,0,2004,True
160,Czech Republic,Latvia,2,1,2004,True
221,Italy,Republic of Ireland,2,0,2012,True
