Year,Country,Matches,AveGoalsFor,AveGoalsAgainst,HomeMatches,HomeAveGoalsFor,HomeAveGoalsAgainst,AwayMatches,AwayAveGoalsFor,AwayAveGoalsAgainst,Host,ChampCount,Champion
1996,Czech Republic,6.0,1.1666666666666667,1.3333333333333333,3.0,1.3333333333333333,1.0,3.0,1.0,1.6666666666666667,false,0.0,false
1996,Denmark,3.0,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,2.0,1.5,1.5,false,1.0,false
1996,England,5.0,1.6,0.6,1.0,1.0,1.0,4.0,1.75,0.5,true,0.0,false
1996,France,5.0,1.0,0.4,4.0,1.0,0.5,1.0,1.0,0.0,false,2.0,false
1996,Germany,6.0,1.6666666666666667,0.5,3.0,1.6666666666666667,0.6666666666666666,3.0,1.6666666666666667,0.3333333333333333,false,1.0,true
1996,Italy,3.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,false,1.0,false
1996,Netherlands,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,0.0,false,1.0,false
1996,Portugal,4.0,1.25,0.5,1.0,1.0,0.0,3.0,1.3333333333333333,0.6666666666666666,false,0.0,false
1996,Romania,3.0,0.3333333333333333,1.3333333333333333,2.0,0.5,1.5,1.0,0.0,1.0,false,0.0,false
1996,Russia,3.0,1.3333333333333333,2.6666666666666665,2.0,1.5,3.0,1.0,1.0,2.0,false,0.0,false
1996,Scotland,3.0,0.3333333333333333,0.6666666666666666,2.0,0.5,1.0,1.0,0.0,0.0,false,0.0,false
1996,Spain,4.0,1.0,0.75,2.0,0.5,0.5,2.0,1.5,1.0,false,1.0,false
1996,Switzerland,3.0,0.3333333333333333,1.3333333333333333,1.0,0.0,2.0,2.0,0.5,1.0,false,0.0,false
1996,Turkey,3.0,0.0,1.6666666666666667,2.0,0.0,2.0,1.0,0.0,1.0,false,0.0,false
2000,Belgium,3.0,0.6666666666666666,1.6666666666666667,1.0,2.0,1.0,2.0,0.0,2.0,true,0.0,false
2000,Czech Republic,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,false,0.0,false
2000,Denmark,3.0,0.0,2.6666666666666665,2.0,0.0,2.5,1.0,0.0,3.0,false,1.0,false
2000,England,3.0,1.6666666666666667,2.0,2.0,1.5,1.5,1.0,2.0,3.0,false,0.0,false
2000,FR Yugoslavia,4.0,2.0,3.25,2.0,3.0,3.5,2.0,1.0,3.0,false,0.0,false
2000,France,6.0,2.1666666666666665,1.1666666666666667,4.0,2.25,1.25,2.0,2.0,1.0,false,3.0,true
2000,Germany,3.0,0.3333333333333333,1.6666666666666667,1.0,1.0,1.0,2.0,0.0,2.0,false,1.0,false
2000,Italy,6.0,1.5,0.6666666666666666,4.0,1.5,0.25,2.0,1.5,1.5,false,1.0,false
2000,Netherlands,5.0,2.6,0.6,2.0,3.5,0.5,3.0,2.0,0.6666666666666666,true,1.0,false
2000,Norway,3.0,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,2.0,0.5,0.0,false,0.0,false
2000,Portugal,5.0,2.0,0.8,2.0,3.0,1.0,3.0,1.3333333333333333,0.6666666666666666,false,0.0,false
2000,Romania,4.0,1.0,1.5,1.0,0.0,1.0,3.0,1.3333333333333333,1.6666666666666667,false,0.0,false
2000,Slovenia,3.0,1.3333333333333333,1.6666666666666667,2.0,0.5,1.0,1.0,3.0,3.0,false,0.0,false
2000,Spain,4.0,1.75,1.75,2.0,0.5,1.5,2.0,3.0,2.0,false,1.0,false
2000,Sweden,3.0,0.6666666666666666,1.3333333333333333,1.0,0.0,0.0,2.0,1.0,2.0,false,0.0,false
2000,Turkey,4.0,0.75,1.0,3.0,1.0,1.3333333333333333,1.0,0.0,0.0,false,0.0,false
2004,Bulgaria,3.0,0.3333333333333333,3.0,1.0,0.0,2.0,2.0,0.5,3.5,false,0.0,false
2004,Croatia,3.0,1.3333333333333333,2.0,2.0,2.0,3.0,1.0,0.0,0.0,false,0.0,false
2004,Czech Republic,5.0,2.0,1.0,2.0,2.5,0.5,3.0,1.6666666666666667,1.3333333333333333,false,0.0,false
2004,Denmark,4.0,1.0,1.25,2.0,1.0,1.0,2.0,1.0,1.5,false,1.0,false
2004,England,4.0,2.5,1.5,1.0,3.0,0.0,3.0,2.3333333333333335,2.0,false,0.0,false
2004,France,4.0,1.75,1.25,2.0,1.0,1.0,2.0,2.5,1.5,false,3.0,false
2004,Germany,3.0,0.6666666666666666,1.0,2.0,1.0,1.5,1.0,0.0,0.0,false,1.0,false
2004,Greece,6.0,1.1666666666666667,0.6666666666666666,2.0,1.0,0.5,4.0,1.25,0.75,false,2.0,true
2004,Italy,3.0,1.0,0.6666666666666666,2.0,1.5,1.0,1.0,0.0,0.0,false,1.0,false
2004,Latvia,3.0,0.3333333333333333,1.6666666666666667,1.0,0.0,0.0,2.0,0.5,2.5,false,0.0,false
2004,Netherlands,5.0,1.4,1.2,2.0,2.5,1.5,3.0,0.6666666666666666,1.0,false,1.0,false
2004,Portugal,6.0,1.3333333333333333,1.0,4.0,1.25,1.5,2.0,1.5,0.0,true,0.0,false
2004,Russia,3.0,0.6666666666666666,1.3333333333333333,2.0,1.0,1.5,1.0,0.0,1.0,false,0.0,false
2004,Spain,3.0,0.6666666666666666,0.6666666666666666,2.0,0.5,0.5,1.0,1.0,1.0,false,1.0,false
2004,Sweden,4.0,2.0,0.75,2.0,2.5,0.0,2.0,1.5,1.5,false,0.0,false
2004,Switzerland,3.0,0.3333333333333333,2.0,2.0,0.5,1.5,1.0,0.0,3.0,false,0.0,false
2008,Austria,3.0,0.3333333333333333,1.0,3.0,0.3333333333333333,1.0,0.0,0.0,0.0,true,0.0,false
2008,Croatia,4.0,1.25,0.5,2.0,1.5,1.0,2.0,1.0,0.0,false,0.0,false
2008,Czech Republic,3.0,1.3333333333333333,2.0,1.0,1.0,3.0,2.0,1.5,1.5,false,0.0,false
